"lemma"
"1"	"character"
"523"	"Stockhausen"
"524"	","
"525"	"Varese"
"526"	","
"527"	"Berio"
"528"	","
"529"	"Lachenmann"
"530"	","
"531"	"Nono"
"532"	","
"533"	"Bernd-Alois"
"534"	"Zimmermann"
"535"	")"
"536"	"."
"537"	"ein"
"538"	"Bonbon"
"539"	"werden"
"540"	"die"
"541"	"Aufführung"
"542"	"das"
"543"	"letzt"
"544"	"Werk"
"545"	"von"
"546"	"Helmut"
"547"	"Lachenmann"
"548"	","
"549"	"der"
"550"	"übrigens"
"551"	"auch"
"552"	"kommen"
"553"	","
"554"	"wie"
"555"	"Younghi"
"556"	"Pagh-Paan"
"557"	"und"
"558"	"Klaus"
"559"	"Huber"
"560"	":"
"561"	"\""
"562"	"Serynade"
"563"	"\""
"564"	"für"
"565"	"Klavier"
"566"	"."
"567"	"mit"
"568"	"Yukiko"
"569"	"Sugawara"
"570"	","
"571"	"David"
"572"	"Albermann"
"573"	"und"
"574"	"Carin"
"575"	"Levine"
"576"	"sein%aux"
"577"	"neben"
"578"	"das"
"579"	"Ensemble"
"580"	"Recherche"
"581"	"MusikerIn"
"582"	"engagieren"
"583"	","
"584"	"der|die|das"
"585"	"die"
"586"	"Freude"
"587"	"an"
"588"	"Hören"
"589"	"garantieren"
"590"	"."
"591"	"Ute"
"592"	"Schalz-Laurenze"
